"","Country","cri","MTCO2e","Moratoria_bans_limits","Subsidy_removal","Divestment","Sources","Notes","ISO2","ISO3","UN","CAT_rating","latitude","longitude","global_level","continent_level","mbl_country","mbl_city_region","divestment_city_region","divestment_non_government","subsidy_removal","MBL_Class_Moratorium","MBL_Class_Ban","MBL_Class_Partial_Ban","MBL_Class_Limitation","MBL_Type_Oil","MBL_Type_Gas","MBL_Type_Coal","MBL_Type_Offshore","MBL_Type_Oil_Gas","MBL_Type_Oil_Gas_Coal","MBL_Type_Coal_Gas","MBL_Type_All","MBL_Type_Ore","Div_Type_Full","Div_Type_Partial","Div_Type_Fossil_Free","Div_Type_Coal_Only","Div_Type_Coal_and_Tar_Sands_Only","Div_Orga_Faith_based_Organization","Div_Orga_NGO","Div_Orga_Pension_Fund","Div_Orga_For_Profit_Corporation","Div_Orga_Philanthropic_Foundation","Div_Orga_Government","Div_Orga_Educational_Institution","Div_Orga_Healthcare_Institution","Div_Orga_Cultural_Institution","Div_Orga_Other","Sr_Type_All","Sr_Type_Coal","Sr_Type_Gas","Sr_Type_Oil","Sr_Type_Oil_Gas","Sr_Type_Oil_Coal","Sr_Type_Gas_Coal","treaty_total","Moratoria_bans_limits_total","Divestment_total","Subsidy_removal_total","Policy_total","Government_policies_total","Non_Government_policies_total","oil_production_2020","gas_production_2020","coal_production_2020","oil_production_2020_cat","gas_production_2020_cat","coal_production_2020_cat","MTCO2e_cat","global_emissions_percent","fossil_fuel_share_energy_2019","ff_share_2019_cat","co2_oil_annual_2019","co2_gas_annual_2019","co2_coal_annual_2019","co2_oil_annual_2019_cat","co2_gas_annual_2019_cat","co2_coal_annual_2019_cat"
"89","Libya",124.5,86.54,0,0,0,0,0,"LY","LBY",434,7,25,17,"Global","Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715.7575147942,145.043396944444,0,"500-1000TWH","1-500TWh","No data","1-169 MTCO2e",0.127404,0,"No data",28844185,8435004,NA,"10-50 million t","1-10 million t",NA
"90","Sri Lanka",86,37.47,0,0,0,0,0,"LK","LKA",144,7,7,81,"Global","Asia",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.068167,85.948,"80-90%",17468850,NA,6342563,"10-50 million t",NA,"5-10 million t"
"91","Lesotho",124.5,5.22,0,0,0,0,0,"LS","LSO",426,7,-29.5,28.5,"Global","Africa",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.006101,0,"No data",839442,NA,1383789,"1-5 million t",NA,"1-5 million t"
"92","Lithuania",124.5,17.66,0,0,0,0,0,"LT","LTU",440,2,56,24,"Global","Europe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.037,91.585,"90-95",8046785,3804102,827986,"1-10 million t","1-5 million t","1-5 million t"
"93","Luxembourg",124.5,9.78,1,0,0,0,0,"LU","LUX",442,2,49.75,6.1667,"Global","Europe",1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.026851,92.937,"90-95",7363960,1619292,356257,"1-10 million t","1-5 million t","1-5 million t"
"94","Latvia",124.5,-2.33,0,0,0,0,0,"LV","LVA",428,2,57,25,"Global","Europe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No data","No data","No data","<0 MTCO2e",0.022673,80.861,"80-90%",4768580,2586096,311133,"1-5 million t","1-5 million t","1-5 million t"
"95","Morocco",121.5,88.05,0,0,0,0,0,"MA","MAR",504,4,32,-5,"Global","Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.197383,92.914,"90-95",36878415,2008226,25263344,"10-50 million t","1-5 million t","10-50 million t"
"96","Moldova",66.67,11.81,0,0,0,0,0,"MD","MDA",498,7,47,29,"Global","Europe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.016349,0,"No data",2888331,1882745,559450,"1-5 million t","1-5 million t","1-5 million t"
"97","Madagascar",23.33,58.13,0,0,0,0,0,"MG","MDG",450,7,-20,47,"Global","Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.011017,0,"No data",2480518,NA,1440293,"1-5 million t",NA,"1-5 million t"
"98","Mexico",56.33,694.52,0,0,0,0,0,"MX","MEX",484,2,23,-102,"Global","North America",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,1103.9011371424,312.948888888889,64.0166666666667,"1000-1500TWH","1-500TWh","1-500TWh","500-1000 MTCO2e",1.203296,91.482,"90-95",225206376,150967138,38706917,"100-500 million t","100-500 million t","10-50 million t"
"99","Macedonia, Republic of",0,10.53,0,0,0,0,0,"MK","MKD",807,7,41.8333,22,"Global","Europe",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.022067,89.289,"80-90%",2984264,499723,4205632,"1-5 million t","1-5 million t","1-5 million t"
