Entity,Code,Year,Coal Production - TWh,Oil Production - TWh,Gas Production - TWh
Myanmar,MMR,2015,,,192.1668375
Myanmar,MMR,2016,,,182.80075888888888
Myanmar,MMR,2017,,,177.98891666666668
Myanmar,MMR,2018,,,169.71708361111112
Myanmar,MMR,2019,,,184.81905
Myanmar,MMR,2020,,,176.79284555555554
Netherlands,NLD,1970,,,279.16666666666663
Netherlands,NLD,1971,,,385.8333333333333
Netherlands,NLD,1972,,,514.4444444444445
Netherlands,NLD,1973,,,625.5555555555554
Netherlands,NLD,1974,,,741.6666666666666
Netherlands,NLD,1975,,,803.3333333333333
Netherlands,NLD,1976,,,858.3333333333333
Netherlands,NLD,1977,,,861.1111111111111
Netherlands,NLD,1978,,,788.3333333333334
Netherlands,NLD,1979,,,826.6666666666666
Netherlands,NLD,1980,,,799.4444444444445
Netherlands,NLD,1981,,,742.2222222222223
Netherlands,NLD,1982,,,634.7222222222223
Netherlands,NLD,1983,,,675.8333333333333
Netherlands,NLD,1984,,,684.1666666666666
Netherlands,NLD,1985,,,716.3888888888889
Netherlands,NLD,1986,,,655
Netherlands,NLD,1987,,,656.1111111111111
Netherlands,NLD,1988,,,579.1666666666666
Netherlands,NLD,1989,,,633.0555555555555
Netherlands,NLD,1990,,,634.1666666666666
Netherlands,NLD,1991,,,717
Netherlands,NLD,1992,,,720.0555555555555
Netherlands,NLD,1993,,,734
Netherlands,NLD,1994,,,696.2777777777778
Netherlands,NLD,1995,,,707.8333333333334
Netherlands,NLD,1996,,,801.0833333333334
Netherlands,NLD,1997,,,709.4999999999999
Netherlands,NLD,1998,,,676.7777777777777
Netherlands,NLD,1999,,,629.3333333333334
Netherlands,NLD,2000,,,613.6111111111111
Netherlands,NLD,2001,,,646.4722222222223
Netherlands,NLD,2002,,,635.1944444444445
Netherlands,NLD,2003,,,607.1666666666666
Netherlands,NLD,2004,,,716.1666666666666
Netherlands,NLD,2005,,,653.3333333333333
Netherlands,NLD,2006,,,645.0277777777777
Netherlands,NLD,2007,,,620.0277777777777
Netherlands,NLD,2008,,,709.0833333333334
Netherlands,NLD,2009,,,655
Netherlands,NLD,2010,,,752.6666666666666
Netherlands,NLD,2011,,,694.9722222222222
Netherlands,NLD,2012,,,684.0277777777777
Netherlands,NLD,2013,,,724.0555555555554
Netherlands,NLD,2014,,,603.8611111111112
Netherlands,NLD,2015,,,458.72222222222223
Netherlands,NLD,2016,,,442.8611111111112
Netherlands,NLD,2017,,,379.30555555555554
Netherlands,NLD,2018,,,323.25
Netherlands,NLD,2019,,,278.4444444444444
Netherlands,NLD,2020,,,199.7222222222222
New Zealand,NZL,1981,14.472715833333334,,
New Zealand,NZL,1982,14.632507222222223,,
New Zealand,NZL,1983,16.226563055555555,,
New Zealand,NZL,1984,16.750798055555556,,
New Zealand,NZL,1985,16.014644166666667,,
New Zealand,NZL,1986,16.6984775,,
New Zealand,NZL,1987,14.52473638888889,,
New Zealand,NZL,1988,16.34417277777778,,
New Zealand,NZL,1989,18.536288888888887,,
New Zealand,NZL,1990,17.42373527777778,,
New Zealand,NZL,1991,18.27913861111111,,
New Zealand,NZL,1992,20.814772777777776,,
New Zealand,NZL,1993,23.48876027777778,,
New Zealand,NZL,1994,21.567986666666663,,
New Zealand,NZL,1995,26.44771611111111,,
New Zealand,NZL,1996,27.003558055555555,,
New Zealand,NZL,1997,25.40779694444444,,
New Zealand,NZL,1998,22.06673027777778,,
New Zealand,NZL,1999,25.473890277777777,,
New Zealand,NZL,2000,25.37511222222222,,
New Zealand,NZL,2001,28.830244166666667,,
New Zealand,NZL,2002,33.145049444444446,,
New Zealand,NZL,2003,37.63503388888888,,
New Zealand,NZL,2004,38.050377777777776,,
New Zealand,NZL,2005,38.73087611111111,,
New Zealand,NZL,2006,41.67633083333333,,
New Zealand,NZL,2007,34.672670277777776,,
New Zealand,NZL,2008,34.73564,,
New Zealand,NZL,2009,32.31415972222222,,
New Zealand,NZL,2010,38.57816361111111,,
New Zealand,NZL,2011,35.60586861111111,,
New Zealand,NZL,2012,35.329384166666664,,
New Zealand,NZL,2013,33.527700277777775,,
New Zealand,NZL,2014,28.696991944444445,,
New Zealand,NZL,2015,23.706204166666662,,
New Zealand,NZL,2016,19.881119444444444,,
New Zealand,NZL,2017,20.12601638888889,,
New Zealand,NZL,2018,23.272951111111112,,
New Zealand,NZL,2019,22.2198225,,
New Zealand,NZL,2020,20.36340388888889,,
Nigeria,NGA,1965,,157.0803359999,
Nigeria,NGA,1966,,239.2295708987,
Nigeria,NGA,1967,,182.8020978745,
Nigeria,NGA,1968,,81.16798299129,
Nigeria,NGA,1969,,309.5204433043,
Nigeria,NGA,1970,,620.4730559806001,1.0545
Nigeria,NGA,1971,,877.1750931014001,1.95225
Nigeria,NGA,1972,,1043.0057093334,2.61725
Nigeria,NGA,1973,,1176.842210917,4.009
Nigeria,NGA,1974,,1291.816767729,3.743
Nigeria,NGA,1975,,1021.5377652175,3.3535
Nigeria,NGA,1976,,1187.2388598840002,6.22725
Nigeria,NGA,1977,,1194.4859652910002,8.1985
Nigeria,NGA,1978,,1086.7255317875,9.93225
Nigeria,NGA,1979,,1318.738687221,13.091
Nigeria,NGA,1980,,1182.191853912,15.82225
Nigeria,NGA,1981,,824.7004076137,23.3035
Nigeria,NGA,1982,,737.2807894492,24.27725
Nigeria,NGA,1983,,707.7781005023,27.5215
Nigeria,NGA,1984,,797.3188987826001,26.4765
Nigeria,NGA,1985,,858.6714649082002,25.08
Nigeria,NGA,1986,,840.1678367150001,29.2505
Nigeria,NGA,1987,,772.0538616618,28.9655
Nigeria,NGA,1988,,794.1684934396001,34.82225
Nigeria,NGA,1989,,1011.5125796135,40.318
Nigeria,NGA,1990,,1017.4709770483,38.3895
Nigeria,NGA,1991,,1117.5122083222002,37.449
Nigeria,NGA,1992,,1159.6451922898,40.5365
Nigeria,NGA,1993,,1144.7253358036,46.189
Nigeria,NGA,1994,,1096.4194088132,42.1895
Nigeria,NGA,1995,,1105.5587498776,45.9135
Nigeria,NGA,1996,,1121.2940383477,51.6515
Nigeria,NGA,1997,,1122.7621593061,49.74597444444444
Nigeria,NGA,1998,,1150.4364452462,60.17689027777777
Nigeria,NGA,1999,,1073.8615955329,43.377165
Nigeria,NGA,2000,,1239.155503198,112.04464027777776
Nigeria,NGA,2001,,1224.60045818,152.6134238888889
Nigeria,NGA,2002,,1104.9844454749,171.40391444444447
Nigeria,NGA,2003,,1304.62783726,213.9388911111111
Nigeria,NGA,2004,,1414.9651502160002,228.94196916666667
Nigeria,NGA,2005,,1408.902675446,229.83986694444445
Nigeria,NGA,2006,,1343.79925894,268.9150825
Nigeria,NGA,2007,,1246.662234399,336.3422780555556
Nigeria,NGA,2008,,1230.005507658,327.7921875
Nigeria,NGA,2009,,1243.3237603260002,231.91938777777776
Nigeria,NGA,2010,,1419.975150691,309.0666738888889
Nigeria,NGA,2011,,1377.178920849,364.2581555555556
Nigeria,NGA,2012,,1354.211105991,391.6030255555556
Nigeria,NGA,2013,,1272.987173198,330.9957083333333
Nigeria,NGA,2014,,1270.970067161,399.8253330555555
Nigeria,NGA,2015,,1229.753018032,475.65285416666666
Nigeria,NGA,2016,,1062.1005212461,426.3702083333333
Nigeria,NGA,2017,,1098.9464853493,472.0561894444445
Nigeria,NGA,2018,,1120.6777952346,482.6955380555556
Nigeria,NGA,2019,,1176.256193825,492.7914861111111
Nigeria,NGA,2020,,1010.2509622144,494.3113930555555
Non-OECD,,1981,10043.467111111113,24024.468556320004,6301.347522222222
Non-OECD,,1982,10470.298133333334,22200.9682458,6801.434886111111
Non-OECD,,1983,10843.75816388889,21516.75500493,7361.449983333333
Non-OECD,,1984,11416.15993611111,21649.20152706,8146.993052777777
Non-OECD,,1985,12009.620847222222,21205.12443315,8691.836622222223
Non-OECD,,1986,12386.40051388889,23006.33166187,9364.420316666668
Non-OECD,,1987,12713.46579722222,23009.618044010003,9912.851616666669
Non-OECD,,1988,13206.043475,24548.63356346,10540.767497222225
Non-OECD,,1989,13542.801133333332,25414.51842957,10965.133505555556
Non-OECD,,1990,13533.768458333332,26060.67970604,11361.650741666666
Non-OECD,,1991,13340.287830555557,25675.13571596,11425.070352777777
Non-OECD,,1992,13472.087988888889,26086.27245144,11293.491469444443
Non-OECD,,1993,13377.388663888887,26026.26976918,11200.156816666666
Non-OECD,,1994,13619.096902777776,26072.81894885,11091.392330555556
Non-OECD,,1995,14277.992766666666,26422.67342295,11294.470525
Non-OECD,,1996,14446.306811111112,27037.510282970004,11856.518525
Non-OECD,,1997,14526.982475,27743.36615137,11775.078027777778
Non-OECD,,1998,14156.687661111113,28782.7886905,12208.144516666667
Non-OECD,,1999,14410.528633333332,28079.665779060004,12773.000947222225
Non-OECD,,2000,15019.828763888889,29726.77797334,13454.62334722222
Non-OECD,,2001,15751.56054722222,29873.591778790003,13800.430394444444
Non-OECD,,2002,16403.58014722222,29338.932348110004,14485.33278611111
Non-OECD,,2003,18537.37158611111,31316.393110710003,15335.187952777776
Non-OECD,,2004,20885.21293333333,33697.30583043001,16196.992194444443
Non-OECD,,2005,22743.31215833333,34626.4968803,16952.282405555554
Non-OECD,,2006,24288.80760277777,35298.35236229,17773.25436388889
Non-OECD,,2007,25916.41750833333,35364.6867073,18497.03446388889
Non-OECD,,2008,27050.28935,36180.58537984,19252.36256944444
Non-OECD,,2009,27709.068652777776,35010.67663649,18365.743025
Non-OECD,,2010,29680.19511111111,35816.28015391,20198.78483888889
Non-OECD,,2011,32628.046444444444,36093.17205525,21069.58333055556
Non-OECD,,2012,33334.54977777778,36841.32106993,21398.03782777777
Non-OECD,,2013,34231.06752777778,36302.23454019,21696.260430555554
Non-OECD,,2014,33792.52163888889,36419.75418992,21957.838736111116
Non-OECD,,2015,33482.212916666664,37415.72910756,22306.19868333333
Non-OECD,,2016,32089.794194444446,38008.13978043001,22553.61687777777
Non-OECD,,2017,33034.071444444446,37762.34608041,23450.823741666663
Non-OECD,,2018,35277.52891666666,37645.11841346,24219.94216111111
Non-OECD,,2019,36510.54425,36685.11334132,24654.42205
Non-OECD,,2020,36020.31772222222,33538.35859717,23752.117755555555
Non-OECD,,1965,,12110.694649,
Non-OECD,,1966,,13312.23508503,
Non-OECD,,1967,,14326.49244408,
Non-OECD,,1968,,15966.74362453,
Non-OECD,,1969,,17537.69732205,
Non-OECD,,1970,,19594.39838022,2514.95411
Non-OECD,,1971,,21124.962785720003,2755.3315283333336
Non-OECD,,1972,,22599.12147025,2939.20255
Non-OECD,,1973,,25341.4997188,3226.1311305555555
Non-OECD,,1974,,25689.174056360003,3541.741783333333
Non-OECD,,1975,,24213.8514298,3912.0120416666655
Non-OECD,,1976,,26956.067114210004,4335.207805555556
Non-OECD,,1977,,27682.821325030003,4720.638272222222
Non-OECD,,1978,,27406.28168476,5108.754672222222
Non-OECD,,1979,,28426.722703180003,5674.576016666667
Non-OECD,,1980,,26331.446295720005,5955.251908333334
North America,,1981,5405.495236111111,7933.446864601,6154.782766666666
North America,,1982,5498.757011111111,8214.27444284,5842.892997222222
North America,,1983,5128.0661666666665,8241.572645167002,5347.213208333334
North America,,1984,5910.9421388888895,8469.704523608001,5780.797141666666
North America,,1985,5827.290275,8492.74034838,5561.586819444445
North America,,1986,5852.234022222222,8198.536708232,5364.634841666666
North America,,1987,6035.392005555555,8147.860492806,5589.047711111111
North America,,1988,6258.314172222222,8104.340357103,5841.076597222222
North America,,1989,6463.276330555555,7730.679542819001,5955.502105555555
North America,,1990,6765.054511111111,7612.344394000001,6132.118533333333
North America,,1991,6545.264680555555,7779.638595723001,6164.460222222222
North America,,1992,6504.774147222222,7713.287361627,6305.7116
North America,,1993,6156.448958333333,7589.324299966,6500.221647222222
North America,,1994,6712.079108333332,7540.478945431001,6825.009727777778
North America,,1995,6709.454941666667,7509.181551286,6852.483580555555
North America,,1996,6907.2365,7674.301617549001,6949.551811111111
North America,,1997,7069.709524999999,7795.282932127001,7023.772722222222
North America,,1998,7248.623911111111,7753.623635966,7158.66255
North America,,1999,7021.656838888888,7432.906347476,7149.135158333333
North America,,2000,6847.45515,7477.957270299,7282.836252777777
North America,,2001,7067.2268583333325,7519.327900556,7444.549163888889
North America,,2002,6766.947441666667,7591.227010997,7256.790697222222
North America,,2003,6572.560969444445,7691.886664846001,7287.432152777778
North America,,2004,6825.146263888889,7682.288267678,7168.723277777777
North America,,2005,6936.5636138888885,7421.782683949001,7129.051469444445
North America,,2006,7106.873180555555,7420.483625742,7295.736563888889
North America,,2007,7040.879386111111,7360.395816534,7434.265894444444
North America,,2008,7135.076111111112,7121.72815711,7597.896516666667
North America,,2009,6476.640625,7238.547148186,7652.163872222222
North America,,2010,6632.972552777778,7435.942981181001,7759.263397222222
North America,,2011,6708.246536111112,7684.226422297,8205.288625
North America,,2012,6257.967086111111,8395.569403781,8502.802147222223
North America,,2013,6075.793994444444,9138.486424546,8601.011241666667
North America,,2014,6152.821952777778,10134.394640647,9150.178855555556
North America,,2015,5455.437361111111,10594.729732563,9490.058255555556
North America,,2016,4534.779536111111,10270.975920853,9429.908605555554
North America,,2017,4805.538666666666,10710.685182183,9583.411302777777
North America,,2018,4694.528036111111,11982.10566994,10529.034738888888
North America,,2019,4349.396633333333,12865.382852150002,11302.682661111112
North America,,2020,3266.637133333333,12327.43251526,11098.875969444443
North America,,1965,,5694.309833168,
North America,,1966,,6062.027676747,
North America,,1967,,6482.405359019001,
North America,,1968,,6767.500882094,
North America,,1969,,6937.699442554001,
North America,,1970,,7300.578344350001,6365.088805555555
North America,,1971,,7270.598496623001,6576.337702777777
North America,,1972,,7439.695348346,6637.780308333334
North America,,1973,,7452.809723625,6689.9040444444445
North America,,1974,,7189.771175905001,6423.288033333333
