"","Country","City, state, or province","Start","Divestment type","Organisation","Organisation_type","Sources and more info","Sources 2","Sources 3","Notes","Category"
"111","--","--",2014-01-01,"--","Bewegungsstiftung","Philanthropic Foundation","--","--","--","--","Divestment"
"112","--","--",NA,"--","Bill & Melinda Gates Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"113","--","--",2015-06-01,"--","Bioregional","Philanthropic Foundation","--","--","--","--","Divestment"
"114","--","--",2015-11-01,"--","Birmingham City University","Educational Institution","--","--","--","--","Divestment"
"115","--","--",2018-03-09,"--","Black Betty Super Fund","Pension Fund","--","--","--","--","Divestment"
"116","--","--",2020-01-28,"--","BlackRock Investments management","For Profit Corporation","--","--","--","--","Divestment"
"117","--","--",NA,"--","Blue Planet Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"118","--","--",2014-01-01,"--","Blumenthal Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"119","--","--",2019-03-14,"--","BNP Paribas AM","For Profit Corporation","--","--","--","--","Divestment"
"120","--","--",2018-03-09,"--","Bonakini Super Fund","Pension Fund","--","--","--","--","Divestment"
"121","--","--",NA,"--","Bondage Super","Pension Fund","--","--","--","--","Divestment"
"122","--","--",2018-03-09,"--","Bonnie Mulholland Super Fund","Pension Fund","--","--","--","--","Divestment"
"123","--","--",NA,"--","Booth Super Fund","Pension Fund","--","--","--","--","Divestment"
"124","--","--",2015-11-23,"--","Bordeaux","Government","--","--","--","--","Divestment"
"125","--","--",2015-11-23,"--","Bordeaux Métropole","Government","--","--","--","--","Divestment"
"126","--","--",NA,"--","Boston Church of the Covenant, MA","Faith-based Organization","--","--","--","--","Divestment"
"127","--","--",2016-09-20,"--","Boston University","Educational Institution","--","--","--","--","Divestment"
"128","--","--",2015-06-01,"--","Both ENDS Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"129","--","--",2016-11-22,"--","Bournemouth University","Educational Institution","--","--","--","--","Divestment"
"130","--","--",2018-03-09,"--","Bradbury Superannuation Fund","Pension Fund","--","--","--","--","Divestment"
"131","--","--",2018-12-12,"--","Brandeis University","Educational Institution","--","--","--","--","Divestment"
"132","--","--",2019-07-11,"--","Brandenburg","Pension Fund","--","--","--","--","Divestment"
"133","--","--",2016-01-01,"--","Brevard College","Educational Institution","--","--","--","--","Divestment"
"134","--","--",2014-05-01,"--","Brighthelm Church and Community Centre","Faith-based Organization","--","--","--","--","Divestment"
"135","--","--",2017-04-17,"--","Brighton & Hove City Council","Government","--","--","--","--","Divestment"
"136","--","--",NA,"--","Brinstones Super","Pension Fund","--","--","--","--","Divestment"
"137","--","--",1905-07-09,"--","Bristol Quaker Area Meeting","Faith-based Organization","--","--","--","--","Divestment"
"138","--","--",2014-06-01,"--","British Medical Association","Healthcare Institution","--","--","--","--","Divestment"
"139","--","--",2017-05-18,"--","Broederlijk Delen","Faith-based Organization","--","--","--","--","Divestment"
"140","--","--",2020-03-05,"--","Brown University","Educational Institution","--","--","--","--","Divestment"
"141","--","--",2018-01-08,"--","Buckinghamshire New University","Educational Institution","--","--","--","--","Divestment"
"142","--","--",2014-07-01,"--","Bullitt Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"143","--","--",2019-04-26,"--","Bush Hill Park United Reformed Church, Enfield","Faith-based Organization","--","--","--","--","Divestment"
"144","--","--",2017-03-10,"--","BVK","Pension Fund","--","--","--","--","Divestment"
"145","--","--",2015-10-01,"--","Byron Shire Council","Government","--","--","--","--","Divestment"
"146","--","--",NA,"--","California Academy of Sciences","Cultural Institution","--","--","--","--","Divestment"
"147","--","--",2014-12-01,"--","California Institute of the Arts","Educational Institution","--","--","--","--","Divestment"
"148","--","--",NA,"--","California Public Employees' Retirement System (CalPERS)","Pension Fund","--","--","--","--","Divestment"
"149","--","--",NA,"--","California State Compensation Insurance Fund","For Profit Corporation","--","--","--","--","Divestment"
"150","--","--",NA,"--","California State Teachers' Retirement System (CalSTRS)","Pension Fund","--","--","--","--","Divestment"
"151","--","--",2015-11-01,"--","Cambridge City Council","Government","--","--","--","--","Divestment"
"152","--","--",2015-08-01,"--","Canadian Medical Association","Healthcare Institution","--","--","--","--","Divestment"
"153","--","--",2015-06-01,"--","Canadian Unitarian Council (national), ON","Faith-based Organization","--","--","--","--","Divestment"
"154","--","--",NA,"--","Candriam","For Profit Corporation","--","--","--","--","Divestment"
"155","--","--",2017-04-10,"--","Canterbury Christ Church University","Educational Institution","--","--","--","--","Divestment"
"156","--","--",2020-05-28,"--","Capítulo Argentina - Movimiento Católico Mundial por el Clima","Faith-based Organization","--","--","--","--","Divestment"
"157","--","--",2020-12-03,"--","Capuchin Charities","Faith-based Organization","--","--","--","--","Divestment"
"158","--","--",2019-07-25,"--","Cardiff Council Pension Fund","Pension Fund","--","--","--","--","Divestment"
"159","--","--",2016-11-22,"--","Cardiff Metropolitan University","Educational Institution","--","--","--","--","Divestment"
"160","--","--",NA,"--","Cardiff University","Educational Institution","--","--","--","--","Divestment"
"161","--","--",2020-12-03,"--","Caritas Asia","Faith-based Organization","--","--","--","--","Divestment"
"162","--","--",2019-10-16,"--","Caritas Australia","Faith-based Organization","--","--","--","--","Divestment"
"163","--","--",2018-07-09,"--","Caritas India","Faith-based Organization","--","--","--","--","Divestment"
"164","--","--",NA,"--","Caritas Internationalis","Faith-based Organization","--","--","--","--","Divestment"
"165","--","--",2019-10-16,"--","Caritas Italy","Faith-based Organization","--","--","--","--","Divestment"
"166","--","--",2019-10-16,"--","Caritas Norway","Faith-based Organization","--","--","--","--","Divestment"
"167","--","--",2019-05-10,"--","Caritas Philippines","Faith-based Organization","--","--","--","--","Divestment"
"168","--","--",2019-10-16,"--","Caritas Singapore","Faith-based Organization","--","--","--","--","Divestment"
"169","--","--",NA,"--","Caroline & Sigmund Schott Fund","Philanthropic Foundation","--","--","--","--","Divestment"
"170","--","--",2018-03-09,"--","Caroline Lurie Super Fund","Pension Fund","--","--","--","--","Divestment"
"171","--","--",2014-12-01,"--","Catherine Donnelly Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"172","--","--",2017-05-18,"--","Catholic Action for Animals","Faith-based Organization","--","--","--","--","Divestment"
"173","--","--",2019-10-16,"--","Catholic Bishops’ Conference of the Philippines","Faith-based Organization","--","--","--","--","Divestment"
"174","--","--",2018-04-05,"--","Catholic Charities Diocese of Stockton","Faith-based Organization","--","--","--","--","Divestment"
"175","--","--",2019-10-16,"--","Catholic Laity Council of the Archdiocese of Jos","Faith-based Organization","--","--","--","--","Divestment"
"176","--","--",2018-04-05,"--","Catholic Network","Faith-based Organization","--","--","--","--","Divestment"
"177","--","--",2018-04-05,"--","Catholic Parish cluster St Pius, St. Mary, St. Anthony","Faith-based Organization","--","--","--","--","Divestment"
"178","--","--",2020-05-28,"--","Catholic University of Eastern Africa","Faith-based Organization","--","--","--","--","Divestment"
"179","--","--",2017-05-18,"--","Catholic Welfare and Development","Faith-based Organization","--","--","--","--","Divestment"
"180","--","--",2015-09-01,"--","CCFD - Terre Solidaire","NGO","--","--","--","--","Divestment"
"181","--","--",NA,"--","Cecily Dignan Superannuation Fund","Pension Fund","--","--","--","--","Divestment"
"182","--","--",2020-12-03,"--","CEDEHU - Centro de Desarrollo Humano","Faith-based Organization","--","--","--","--","Divestment"
"183","--","--",2017-05-18,"--","Center for Action and Contemplation","Faith-based Organization","--","--","--","--","Divestment"
"184","--","--",2015-05-01,"--","Center for Humans and Nature","NGO","--","--","--","--","Divestment"
"185","--","--",NA,"--","Center for International Environmental Law","NGO","--","--","--","--","Divestment"
"186","--","--",2014-07-01,"--","Central Philadelphia Monthly Meeting of the Religious Society of Friends","Faith-based Organization","--","--","--","--","Divestment"
"187","--","--",2015-01-01,"--","Chalmers University of Technology","Educational Institution","--","--","--","--","Divestment"
"188","--","--",2018-05-14,"--","Change Finance","For Profit Corporation","--","--","--","--","Divestment"
"189","--","--",NA,"--","Chester Quarterly Meeting of the Religious Society of Friends","Faith-based Organization","--","--","--","--","Divestment"
"190","--","--",2016-02-01,"--","Chicago Medical Society","Healthcare Institution","--","--","--","--","Divestment"
"191","--","--",2014-12-01,"--","Chico State University","Educational Institution","--","--","--","--","Divestment"
"192","--","--",NA,"--","Children's Investment Fund Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"193","--","--",1905-07-09,"--","Chilterns Quaker Area Meeting","Faith-based Organization","--","--","--","--","Divestment"
"194","--","--",2018-04-05,"--","China Biodiversity Conservation and Green Development Foundation","NGO","--","--","--","--","Divestment"
"195","--","--",2014-01-01,"--","Chino Cienga Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"196","--","--",2014-01-01,"--","Chorus Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"197","--","--",2014-01-01,"--","Christensen Family Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"198","--","--",2020-05-28,"--","Christian Brothers European Province","Faith-based Organization","--","--","--","--","Divestment"
"199","--","--",2020-05-28,"--","Christian Life Community","Faith-based Organization","--","--","--","--","Divestment"
"200","--","--",2018-03-09,"--","Christine Guinand Super Fund","Pension Fund","--","--","--","--","Divestment"
"201","--","--",2019-07-19,"--","Chubb Insurance LTD","For Profit Corporation","--","--","--","--","Divestment"
"202","--","--",2016-04-01,"--","Church in Wales","Faith-based Organization","--","--","--","--","Divestment"
"203","--","--",2015-04-01,"--","Church of England","Faith-based Organization","--","--","--","--","Divestment"
"204","--","--",NA,"--","Church of Ireland","Faith-based Organization","--","--","--","--","Divestment"
"205","--","--",2016-05-01,"--","Church of Scotland","Faith-based Organization","--","--","--","--","Divestment"
"206","--","--",2016-03-01,"--","Church of St. Paul and St. Andrew","Faith-based Organization","--","--","--","--","Divestment"
"207","--","--",2014-09-01,"--","Church of Sweden","Faith-based Organization","--","--","--","--","Divestment"
"208","--","--",NA,"--","Church of the Covenant, Presbytery of Boston, MA","Faith-based Organization","--","--","--","--","Divestment"
"209","--","--",NA,"--","Church of the Redeemer, Diocese of Newark, NJ","Faith-based Organization","--","--","--","--","Divestment"
"210","--","--",2018-07-09,"--","Church Women United in New York State","Faith-based Organization","--","--","--","--","Divestment"
"211","--","--",2015-02-01,"--","Citizens for Public Justice","NGO","--","--","--","--","Divestment"
"212","--","--",2017-10-11,"--","City Council of Eindhoven","Government","--","--","--","--","Divestment"
"213","--","--",2014-11-01,"--","City of Albury","Government","--","--","--","--","Divestment"
"214","--","--",2013-11-01,"--","City of Amherst, MA","Government","--","--","--","--","Divestment"
"215","--","--",2013-10-01,"--","City of Ann Arbor, MI","Government","--","--","--","--","Divestment"
"216","--","--",2015-11-01,"--","City of Armadale","Government","--","--","--","--","Divestment"
"217","--","--",2014-10-01,"--","City of Ashland, OR","Government","--","--","--","--","Divestment"
"218","--","--",2016-06-01,"--","City of Ballarat","Government","--","--","--","--","Divestment"
"219","--","--",2013-04-01,"--","City of Bayfield, WI","Government","--","--","--","--","Divestment"
"220","--","--",2014-03-01,"--","City of Belfast, ME","Government","--","--","--","--","Divestment"
"221","--","--",2013-04-01,"--","City of Berkeley, CA","Government","--","--","--","--","Divestment"
"222","--","--",2018-12-06,"--","City of Bochum","Government","--","--","--","--","Divestment"
"223","--","--",2016-06-01,"--","City of Borås","Government","--","--","--","--","Divestment"
"224","--","--",2013-04-01,"--","City of Boulder, CO","Government","--","--","--","--","Divestment"
"225","--","--",2013-10-01,"--","City of Boxtel","Government","--","--","--","--","Divestment"
"226","--","--",2014-06-01,"--","City of Brisbane, CA","Government","--","--","--","--","Divestment"
"227","--","--",2015-02-01,"--","City of Bristol","Government","--","--","--","--","Divestment"
"228","--","--",2013-07-01,"--","City of Cambridge, MA","Government","--","--","--","--","Divestment"
"229","--","--",2015-02-01,"--","City of Christchurch","Government","--","--","--","--","Divestment"
"230","--","--",2014-05-01,"--","City of Concord, MA","Government","--","--","--","--","Divestment"
"231","--","--",2015-04-01,"--","City of Copenhagen","Government","--","--","--","--","Divestment"
"232","--","--",2015-06-01,"--","City of Corvallis, OR","Government","--","--","--","--","Divestment"
"233","--","--",2014-05-01,"--","City of Dunedin","Government","--","--","--","--","Divestment"
"234","--","--",2013-04-01,"--","City of Eugene, OR","Government","--","--","--","--","Divestment"
"235","--","--",2014-05-01,"--","City of Framingham, MA","Government","--","--","--","--","Divestment"
"236","--","--",NA,"--","City of Freiburg","Government","--","--","--","--","Divestment"
"237","--","--",2014-08-01,"--","City of Fremantle","Government","--","--","--","--","Divestment"
"238","--","--",2015-10-12,"--","City of Frouzins","Government","--","--","--","--","Divestment"
"239","--","--",2019-11-07,"--","City of Ghent","Pension Fund","--","--","--","--","Divestment"
"240","--","--",2017-05-13,"--","City of Göttingen","Government","--","--","--","--","Divestment"
"241","--","--",2015-03-01,"--","City of Great Barrington, MA","Government","--","--","--","--","Divestment"
"242","--","--",2019-05-23,"--","City of Heidelberg","Government","--","--","--","--","Divestment"
"243","--","--",2015-11-24,"--","City of Hellemes","Government","--","--","--","--","Divestment"
"244","--","--",2013-04-01,"--","City of Ithaca, NY","Government","--","--","--","--","Divestment"
"245","--","--",2016-01-25,"--","City of la Rochelle","Government","--","--","--","--","Divestment"
"246","--","--",2015-03-01,"--","City of Leichhardt","Government","--","--","--","--","Divestment"
"247","--","--",NA,"--","City of Leipzig","Government","--","--","--","--","Divestment"
"248","--","--",2015-11-27,"--","City of Lille","Government","--","--","--","--","Divestment"
"249","--","--",2015-03-01,"--","City of Lismore","Government","--","--","--","--","Divestment"
"250","--","--",2013-04-01,"--","City of Madison, WI","Government","--","--","--","--","Divestment"
"251","--","--",2016-05-01,"--","City of Malmö","Government","--","--","--","--","Divestment"
"252","--","--",2015-01-01,"--","City of Marrickville","Government","--","--","--","--","Divestment"
"253","--","--",2015-10-01,"--","City of Melbourne","Government","--","--","--","--","Divestment"
"254","--","--",2016-05-17,"--","City of Melville","Government","--","--","--","--","Divestment"
"255","--","--",2015-03-01,"--","City of Minneapolis, MN","Government","--","--","--","--","Divestment"
"256","--","--",2019-07-12,"--","City of Montpellier","Government","--","--","--","--","Divestment"
"257","--","--",2014-10-01,"--","City of Moreland","Government","--","--","--","--","Divestment"
"258","--","--",2018-12-13,"--","City of Mountain View","Government","--","--","--","--","Divestment"
"259","--","--",2015-11-01,"--","City of Münster","Government","--","--","--","--","Divestment"
"260","--","--",2013-11-01,"--","City of New London, CT","Government","--","--","--","--","Divestment"
"261","--","--",2015-08-01,"--","City of Newcastle","Government","--","--","--","--","Divestment"
"262","--","--",2013-09-01,"--","City of Northamption, MA","Government","--","--","--","--","Divestment"
"263","--","--",2014-06-01,"--","City of Oakland, CA","Government","--","--","--","--","Divestment"
"264","--","--",NA,"--","City of Oldenburg","Government","--","--","--","--","Divestment"
"265","--","--",2014-10-01,"--","City of Örebro","Government","--","--","--","--","Divestment"
"266","--","--",2016-02-01,"--","City of Östersund","Government","--","--","--","--","Divestment"
"267","--","--",2014-09-01,"--","City of Oxford","Government","--","--","--","--","Divestment"
"268","--","--",2015-02-01,"--","City of Palo Alto, CA","Government","--","--","--","--","Divestment"
"269","--","--",2015-03-16,"--","City of Paris","Government","--","--","--","--","Divestment"
"270","--","--",2015-09-01,"--","City of Portland, OR","Government","--","--","--","--","Divestment"
"271","--","--",2013-06-01,"--","City of Providence, RI","Pension Fund","--","--","--","--","Divestment"
"272","--","--",2013-05-01,"--","City of Provincetown, MA","Government","--","--","--","--","Divestment"
"273","--","--",2015-11-30,"--","City of Ravoire","Government","--","--","--","--","Divestment"
"274","--","--",2013-04-01,"--","City of Richmond, CA","Government","--","--","--","--","Divestment"
"275","--","--",2013-04-01,"--","City of San Francisco, CA","Government","--","--","--","--","Divestment"
"276","--","--",2020-03-10,"--","City of San Jose","Government","--","--","--","--","Divestment"
"277","--","--",2015-06-01,"--","City of San Luis Obispo, CA","Government","--","--","--","--","Divestment"
"278","--","--",2013-04-01,"--","City of Santa Fe, NM","Government","--","--","--","--","Divestment"
"279","--","--",2012-11-01,"--","City of Santa Monica, CA","Government","--","--","--","--","Divestment"
"280","--","--",2015-02-12,"--","City of Savenay","Government","--","--","--","--","Divestment"
"281","--","--",2012-12-01,"--","City of Seattle, WA","Government","--","--","--","--","Divestment"
"282","--","--",2016-05-01,"--","City of Stirling","Government","--","--","--","--","Divestment"
"283","--","--",2016-06-01,"--","City of Stockholm","Government","--","--","--","--","Divestment"
"284","--","--",2016-05-01,"--","City of Strömstad","Government","--","--","--","--","Divestment"
