"","Country","City, state, or province","Start","Divestment type","Organisation","Organisation_type","Sources and more info","Sources 2","Sources 3","Notes","Category"
"558","--","--",2018-03-09,"--","Janet Mayer Super Fund","Pension Fund","--","--","--","--","Divestment"
"559","--","--",2018-03-09,"--","Jay'n'ess Super Fund","Pension Fund","--","--","--","--","Divestment"
"560","--","--",NA,"--","Jena & Michael King Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"561","--","--",2015-06-01,"--","Jenifer Altman Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"562","--","--",NA,"--","Jennie Di Blasi Super Fund","Pension Fund","--","--","--","--","Divestment"
"563","--","--",2014-01-01,"--","Jessie Smith Noyes Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"564","--","--",2018-07-09,"--","Jesuit Conference of Africa - Justice and Ecology Office","Faith-based Organization","--","--","--","--","Divestment"
"565","--","--",NA,"--","Jesuit European Social Centre","Faith-based Organization","--","--","--","--","Divestment"
"566","--","--",2020-04-01,"--","Jesuits in Britain","Faith-based Organization","--","--","--","--","Divestment"
"567","--","--",2014-01-01,"--","Jim and Patty Rouse Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"568","--","--",2015-06-01,"--","JJ Charitable Trust","Philanthropic Foundation","--","--","--","--","Divestment"
"569","--","--",2015-06-01,"--","JMG Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"570","--","--",2015-06-01,"--","Joffe Charitable Trust","Philanthropic Foundation","--","--","--","--","Divestment"
"571","--","--",2014-07-01,"--","John & Marcia Goldman Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"572","--","--",2014-01-01,"--","John Merck Fund","Philanthropic Foundation","--","--","--","--","Divestment"
"573","--","--",2017-12-19,"--","Johns Hopkins University","Educational Institution","--","--","--","--","Divestment"
"574","--","--",2019-07-21,"--","Johnson Ohana Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"575","--","--",2014-01-01,"--","Joseph Rowntree Charitable Trust","Philanthropic Foundation","--","--","--","--","Divestment"
"576","--","--",2018-01-05,"--","JPB foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"577","--","--",2020-12-03,"--","JPIC Commission USG-UISG","Faith-based Organization","--","--","--","--","Divestment"
"578","--","--",NA,"--","JRS Biodiversity Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"579","--","--",2014-01-01,"--","Jubitz Family Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"580","--","--",2019-07-21,"--","Jumuiya Women Fund","Philanthropic Foundation","--","--","--","--","Divestment"
"581","--","--",2014-09-01,"--","Just Money Super Fund","Pension Fund","--","--","--","--","Divestment"
"582","--","--",NA,"--","Justice and Peace National Commission","Faith-based Organization","--","--","--","--","Divestment"
"583","--","--",2018-03-09,"--","Kadungle Superannuation Fund","Pension Fund","--","--","--","--","Divestment"
"584","--","--",2018-03-09,"--","Kaldor Family Super Fund","Pension Fund","--","--","--","--","Divestment"
"585","--","--",2015-11-01,"--","Kansas City, MO","Government","--","--","--","--","Divestment"
"586","--","--",2020-05-28,"--","Karuna Mission Social Solidarity (KMSS) - Caritas Myanmar","Faith-based Organization","--","--","--","--","Divestment"
"587","--","--",2020-11-02,"--","Kempen Capital Management","For Profit Corporation","--","--","--","--","Divestment"
"588","--","--",1905-07-07,"--","Kendal and Sedbergh Quaker Area Meeting","Faith-based Organization","--","--","--","--","Divestment"
"589","--","--",NA,"--","Kerr Ratcliffe Super","Pension Fund","--","--","--","--","Divestment"
"590","--","--",NA,"--","Kestrelman Trust","Philanthropic Foundation","--","--","--","--","Divestment"
"591","--","--",2020-12-03,"--","Kikandwa Environmental Association","Faith-based Organization","--","--","--","--","Divestment"
"592","--","--",2016-09-28,"--","King's College London","Educational Institution","--","--","--","--","Divestment"
"593","--","--",2015-11-01,"--","Kirklees Council","Government","--","--","--","--","Divestment"
"594","--","--",2020-03-05,"--","Kiwisaver funds","Pension Fund","--","--","--","--","Divestment"
"595","--","--",2014-01-01,"--","KL Felicitas Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"596","--","--",2019-07-21,"--","Kokua Hawaii Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"597","--","--",2014-09-01,"--","Kollantai Super Fund","Pension Fund","--","--","--","--","Divestment"
"598","--","--",2014-11-01,"--","Kommunal Landspensjonskasse (KLP)","Pension Fund","--","--","--","--","Divestment"
"599","--","--",2019-03-20,"--","Konferentie Nederlandse Religieuzen","Faith-based Organization","--","--","--","--","Divestment"
"600","--","--",2018-03-09,"--","Koorool Super Fund","Pension Fund","--","--","--","--","Divestment"
"601","--","--",NA,"--","KR Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"602","--","--",NA,"--","Kristine and Will Catto Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"603","--","--",2019-11-07,"--","KU Leuven","Educational Institution","--","--","--","--","Divestment"
"604","--","--",NA,"--","Kuhn's Gold Super","Pension Fund","--","--","--","--","Divestment"
"605","--","--",2016-05-01,"--","La Trobe University","Educational Institution","--","--","--","--","Divestment"
"606","--","--",2014-01-01,"--","Laird Norton Family Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"607","--","--",2014-06-01,"--","Lake Country Unitarian Universalist Church, WI","Faith-based Organization","--","--","--","--","Divestment"
"608","--","--",2020-11-26,"--","Lakehead University","Educational Institution","--","--","--","--","Divestment"
"609","--","--",1905-07-07,"--","Lancashire Central and North Quaker Area Meeting","Faith-based Organization","--","--","--","--","Divestment"
"610","--","--",2020-05-28,"--","Lancaster Methodist Church","Faith-based Organization","--","--","--","--","Divestment"
"611","--","--",2018-08-03,"--","Landkreis Osnabrück","Government","--","--","--","--","Divestment"
"612","--","--",2014-07-01,"--","Lansdowne Monthly Meeting","Faith-based Organization","--","--","--","--","Divestment"
"613","--","--",2019-07-23,"--","Larry R. Williams, PLLC","For Profit Corporation","--","--","--","--","Divestment"
"614","--","--",2015-06-01,"--","Laughing Gull Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"615","--","--",2017-02-15,"--","Laval University","Educational Institution","--","--","--","--","Divestment"
"616","--","--",2020-01-16,"--","Lavington URC, Bideford","Faith-based Organization","--","--","--","--","Divestment"
"617","--","--",2018-04-05,"--","Lay Dominicans","Faith-based Organization","--","--","--","--","Divestment"
"618","--","--",2015-12-16,"--","Le Mans city","Government","--","--","--","--","Divestment"
"619","--","--",2014-09-01,"--","League of Conservation Voters","NGO","--","--","--","--","Divestment"
"620","--","--",NA,"--","Leeds Quaker Area Meeting","Faith-based Organization","--","--","--","--","Divestment"
"621","--","--",2019-11-28,"--","Leeds Trinity University","Educational Institution","--","--","--","--","Divestment"
"622","--","--",2017-05-18,"--","Lega Consumatori","Faith-based Organization","--","--","--","--","Divestment"
"623","--","--",2016-02-08,"--","Legambiente Reggio Emilia","NGO","--","--","--","--","Divestment"
"624","--","--",2014-07-01,"--","Lehigh Valley Monthly Meeting","Faith-based Organization","--","--","--","--","Divestment"
"625","--","--",1905-07-09,"--","Leicester Quaker Area Meeting","Faith-based Organization","--","--","--","--","Divestment"
"626","--","--",2015-09-01,"--","Lemelson Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"627","--","--",2019-07-02,"--","Lemonade Insurance","For Profit Corporation","--","--","--","--","Divestment"
"628","--","--",2018-03-09,"--","Lenko Family Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"629","--","--",2014-01-01,"--","Leonard and Sophie Davis Fund, The","Philanthropic Foundation","--","--","--","--","Divestment"
"630","--","--",NA,"--","Leonardo DiCaprio Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"631","--","--",2017-03-01,"--","Lewes Town Council","Government","--","--","--","--","Divestment"
"632","--","--",2018-12-03,"--","Lewis & Clark College","Educational Institution","--","--","--","--","Divestment"
"633","--","--",NA,"--","Liberty Hill Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"634","--","--",2020-01-28,"--","Liberty Mutual","For Profit Corporation","--","--","--","--","Divestment"
"635","--","--",2020-05-28,"--","Little Company of Mary, Irish Province","Faith-based Organization","--","--","--","--","Divestment"
"636","--","--",2020-12-03,"--","Little Sisters of St. Joseph","Faith-based Organization","--","--","--","--","Divestment"
"637","--","--",2017-12-19,"--","Lloyd's of London Insurance Company","For Profit Corporation","--","--","--","--","Divestment"
"638","--","--",2014-10-01,"--","Local Government Super","Pension Fund","--","--","--","--","Divestment"
"639","--","--",NA,"--","London Borough of Hackney Pension Fund","Pension Fund","--","--","--","--","Divestment"
"640","--","--",2016-12-13,"--","London Borough of Southwark Pension Fund","Government","--","--","--","--","Divestment"
"641","--","--",2018-12-17,"--","London Lambeth Labour pension","Pension Fund","--","--","--","--","Divestment"
"642","--","--",2017-10-23,"--","London Metropolitan University","Educational Institution","--","--","--","--","Divestment"
"643","--","--",2018-12-14,"--","London Pension Fund Authority","Pension Fund","--","--","--","--","Divestment"
"644","--","--",2015-11-01,"--","London School of Economics","Educational Institution","--","--","--","--","Divestment"
"645","--","--",2015-05-01,"--","London School of Hygiene & Tropical Medicine","Educational Institution","--","--","--","--","Divestment"
"646","--","--",2014-01-01,"--","Lookout Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"647","--","--",2018-10-07,"--","Loughborough University","Educational Institution","--","--","--","--","Divestment"
"648","--","--",2015-06-01,"--","Lund University","Educational Institution","--","--","--","--","Divestment"
"649","--","--",2019-07-21,"--","Lupoff Friends and Family Interests LLC","For Profit Corporation","--","--","--","--","Divestment"
"650","--","--",2015-06-01,"--","Lutheran World Federation","Faith-based Organization","--","--","--","--","Divestment"
"651","--","--",2018-11-10,"--","Lyon Métropole","Government","--","--","--","--","Divestment"
"652","--","--",NA,"--","M & N West Pension Fund","Pension Fund","--","--","--","--","Divestment"
"653","--","--",2015-12-01,"--","Macedon Ranges Shire Council","Government","--","--","--","--","Divestment"
"654","--","--",2014-05-01,"--","Madden Sainsbury Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"655","--","--",2014-01-01,"--","Madirriny Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"656","--","--",2016-08-07,"--","Madison Monthly Meeting of the Religious Society of Friends (Quakers)","Faith-based Organization","--","--","--","--","Divestment"
"657","--","--",2014-01-01,"--","Maine Council of Churches, ME","Faith-based Organization","--","--","--","--","Divestment"
"658","--","--",2018-03-09,"--","Make It So Superannuation Fund","Pension Fund","--","--","--","--","Divestment"
"659","--","--",NA,"--","Malbird Super Fund","Pension Fund","--","--","--","--","Divestment"
"660","--","--",2016-11-22,"--","Manchester Metropolitan University","Educational Institution","--","--","--","--","Divestment"
"661","--","--",2019-07-04,"--","MAPFRE Insurance","For Profit Corporation","--","--","--","--","Divestment"
"662","--","--",NA,"--","Maree Kordonsky Super","Pension Fund","--","--","--","--","Divestment"
"663","--","--",NA,"--","Margaret Hayman Charitable Trust","Philanthropic Foundation","--","--","--","--","Divestment"
"664","--","--",2018-03-09,"--","Margaret Jennings Super Fund","Pension Fund","--","--","--","--","Divestment"
"665","--","--",2020-05-28,"--","Marino Institute of Education Trust Fund","Faith-based Organization","--","--","--","--","Divestment"
"666","--","--",2016-06-01,"--","Marist Sisters Australia","Faith-based Organization","--","--","--","--","Divestment"
"667","--","--",2015-06-01,"--","Mark Leonard Trust","Philanthropic Foundation","--","--","--","--","Divestment"
"668","--","--",NA,"--","Mary Reynolds Babcock Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"669","--","--",NA,"--","Mary Robinson Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"670","--","--",2017-05-18,"--","MASCI","Faith-based Organization","--","--","--","--","Divestment"
"671","--","--",2013-07-01,"--","Massachusetts United Church of Christ","Faith-based Organization","--","--","--","--","Divestment"
"672","--","--",2018-03-09,"--","McCrea Family Super Fund","Pension Fund","--","--","--","--","Divestment"
"673","--","--",NA,"--","McGill Association of University Teachers","Educational Institution","--","--","--","--","Divestment"
"674","--","--",2016-07-01,"--","McKenzie River Gathering Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"675","--","--",2015-02-01,"--","McKinnon Family Fund","Philanthropic Foundation","--","--","--","--","Divestment"
"676","--","--",NA,"--","McKinnon Super Fund","Pension Fund","--","--","--","--","Divestment"
"677","--","--",NA,"--","Medford Friends Meeting","Faith-based Organization","--","--","--","--","Divestment"
"678","--","--",2017-11-13,"--","Medibank","Healthcare Institution","--","--","--","--","Divestment"
"679","--","--",2013-08-01,"--","Melbourne Unitarian Church","Faith-based Organization","--","--","--","--","Divestment"
"680","--","--",NA,"--","Melton Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"681","--","--",2014-01-01,"--","Mennen Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"682","--","--",2017-05-18,"--","Mercedarian Missionaries of Berriz","Faith-based Organization","--","--","--","--","Divestment"
"683","--","--",2014-02-01,"--","Merck Family Fund","Philanthropic Foundation","--","--","--","--","Divestment"
"684","--","--",2018-07-09,"--","Mercy International Association","Faith-based Organization","--","--","--","--","Divestment"
"685","--","--",2015-07-01,"--","Methodist Church of Britain","Faith-based Organization","--","--","--","--","Divestment"
"686","--","--",NA,"--","Metropolitan New York Synod, Evangelical Lutheran Church in America","Faith-based Organization","--","--","--","--","Divestment"
"687","--","--",2015-04-01,"--","Meyer Family Enterprises","Philanthropic Foundation","--","--","--","--","Divestment"
"688","--","--",2017-05-10,"--","MGR Foundation","Faith-based Organization","--","--","--","--","Divestment"
"689","--","--",NA,"--","Miami Monthly Friends (Quaker) Meeting - Waynesville, OH","Faith-based Organization","--","--","--","--","Divestment"
"690","--","--",2015-10-01,"--","Miami Quarterly Friends (Quaker) Meeting of Ohio Valley, OH","Faith-based Organization","--","--","--","--","Divestment"
"691","--","--",1905-07-07,"--","Mid Somerset Quaker Area Meeting","Faith-based Organization","--","--","--","--","Divestment"
"692","--","--",1905-07-08,"--","Mid Thames Quaker Area Meeting","Faith-based Organization","--","--","--","--","Divestment"
"693","--","--",2019-02-03,"--","Middlebury College","Educational Institution","--","--","--","--","Divestment"
"694","--","--",2020-11-26,"--","Mill Hill Missionaries (British Region)","Faith-based Organization","--","--","--","--","Divestment"
"695","--","--",2020-12-03,"--","Mill Hill Missionaries (British Region)","Faith-based Organization","--","--","--","--","Divestment"
"696","--","--",NA,"--","Millamac Super Fund","Pension Fund","--","--","--","--","Divestment"
"697","--","--",2020-05-29,"--","Minnesota State Board of Investments","Pension Fund","--","--","--","--","Divestment"
"698","--","--",2019-10-16,"--","Mission Congregation of the Servants of the Holy Spirit","Faith-based Organization","--","--","--","--","Divestment"
"699","--","--",2017-05-18,"--","Missionarissen van Scheut","Faith-based Organization","--","--","--","--","Divestment"
"700","--","--",NA,"--","Missionary Franciscan Sisters of the Immaculate Conception","Faith-based Organization","--","--","--","--","Divestment"
"701","--","--",2020-05-28,"--","Missionary Sisters of St Columban","Faith-based Organization","--","--","--","--","Divestment"
"702","--","--",2016-10-04,"--","Missionary Society of St. Columban","Faith-based Organization","--","--","--","--","Divestment"
"703","--","--",2014-07-01,"--","Mize Family Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"704","--","--",2014-04-01,"--","Monash University","Educational Institution","--","--","--","--","Divestment"
"705","--","--",2020-12-03,"--","Monastery of St Alphonsus","Faith-based Organization","--","--","--","--","Divestment"
"706","--","--",NA,"--","Monmouthshire County Council","Government","--","--","--","--","Divestment"
"707","--","--",2015-06-01,"--","Montreal Quakers","Faith-based Organization","--","--","--","--","Divestment"
"708","--","--",2015-04-11,"--","Montreuil","Government","--","--","--","--","Divestment"
"709","--","--",NA,"--","Moomintroll Super Fund","Pension Fund","--","--","--","--","Divestment"
"710","--","--",2015-06-01,"--","Morning Star Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"711","--","--",2016-04-01,"--","Mount Alexander Shire Council","Government","--","--","--","--","Divestment"
"712","--","--",NA,"--","Mount Holly, New Jersey","Faith-based Organization","--","--","--","--","Divestment"
"713","--","--",2014-05-01,"--","Mountain Vista Unitarian Universalist Congregation, AZ","Faith-based Organization","--","--","--","--","Divestment"
"714","--","--",NA,"--","Movimento Cristiano Lavoratori","Faith-based Organization","--","--","--","--","Divestment"
"715","--","--",NA,"--","MP Pension fund","Pension Fund","--","--","--","--","Divestment"
"716","--","--",2014-01-01,"--","Mullum Trust","Philanthropic Foundation","--","--","--","--","Divestment"
"717","--","--",NA,"--","Multnomah County, OR","Government","--","--","--","--","Divestment"
"718","--","--",2018-03-09,"--","Mundi Farm Super Fund","Pension Fund","--","--","--","--","Divestment"
"719","--","--",NA,"--","Munich Re","For Profit Corporation","--","--","--","--","Divestment"
"720","--","--",2018-03-09,"--","Nardoo Super Fund","Pension Fund","--","--","--","--","Divestment"
"721","--","--",2013-10-01,"--","Naropa University","Educational Institution","--","--","--","--","Divestment"
"722","--","--",2020-07-29,"--","National Employment Savings Trust","Pension Fund","--","--","--","--","Divestment"
"723","--","--",2015-05-01,"--","National Ethical Service","NGO","--","--","--","--","Divestment"
"724","--","--",2017-06-04,"--","National Peace Corps Association","NGO","--","--","--","--","Divestment"
"725","--","--",NA,"--","National Synod of Scotland","Faith-based Organization","--","--","--","--","Divestment"
"726","--","--",2015-10-01,"--","National Tertiary Education Union","Other","--","--","--","--","Divestment"
"727","--","--",2019-07-04,"--","National Trust","NGO","--","--","--","--","Divestment"
"728","--","--",2017-03-13,"--","National University of Ireland Galway","Educational Institution","--","--","--","--","Divestment"
"729","--","--",2019-07-30,"--","Natixis Investment Bank","For Profit Corporation","--","--","--","--","Divestment"
"730","--","--",2014-04-01,"--","Natural Resources Defense Council","NGO","--","--","--","--","Divestment"
"731","--","--",NA,"--","Neranie Super Fund","Pension Fund","--","--","--","--","Divestment"
"732","--","--",2016-09-19,"--","Nest Sammelstiftung / Nest Fondation Collective","Pension Fund","--","--","--","--","Divestment"
"733","--","--",2017-05-18,"--","Netwerk Rechtvaardigheid en Vrede - Ecokerk","Faith-based Organization","--","--","--","--","Divestment"
"734","--","--",NA,"--","Nevada Super Fund","Pension Fund","--","--","--","--","Divestment"
"735","--","--",2014-12-01,"--","New England Biolabs Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"736","--","--",2015-06-01,"--","New Priorities Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"737","--","--",2013-06-01,"--","New Progressive Alliance","NGO","--","--","--","--","Divestment"
"738","--","--",2018-01-09,"--","New York City Employees Retirement System","Pension Fund","--","--","--","--","Divestment"
"739","--","--",2016-06-30,"--","New York Conference of The United Methodist Church","Faith-based Organization","--","--","--","--","Divestment"
"740","--","--",NA,"--","New York Quarterly Meeting","Faith-based Organization","--","--","--","--","Divestment"
"741","--","--",2020-07-12,"--","New York State Common Retirement Fund","Pension Fund","--","--","--","--","Divestment"
"742","--","--",NA,"--","New Zealand Nurses Organisation","Other","--","--","--","--","Divestment"
"743","--","--",NA,"--","New Zealand Superannuation fund","Pension Fund","--","--","--","--","Divestment"
"744","--","--",2016-05-01,"--","Newcastle University","Educational Institution","--","--","--","--","Divestment"
"745","--","--",2017-04-14,"--","Newman University","Educational Institution","--","--","--","--","Divestment"
"746","--","--",2014-07-01,"--","Newtown Monthly Quaker Meeting, PA","Faith-based Organization","--","--","--","--","Divestment"
"747","--","--",2014-01-01,"--","Nia Community Fund","Philanthropic Foundation","--","--","--","--","Divestment"
"748","--","--",2014-07-01,"--","Nisei Student Relocation Commemorative Fund","Philanthropic Foundation","--","--","--","--","Divestment"
"749","--","--",2019-07-04,"--","NN Group Insurance","For Profit Corporation","--","--","--","--","Divestment"
"750","--","--",NA,"--","Nomadelfia","Faith-based Organization","--","--","--","--","Divestment"
"751","--","--",2016-02-01,"--","Noorda Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"752","--","--",2015-05-01,"--","Nordea Bank AB","For Profit Corporation","--","--","--","--","Divestment"
"753","--","--",NA,"--","Nordic Enterprise","Philanthropic Foundation","--","--","--","--","Divestment"
"754","--","--",1905-07-09,"--","Norfolk and Waveney Quaker Area Meeting","Faith-based Organization","--","--","--","--","Divestment"
"755","--","--",NA,"--","Norman Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"756","--","--",2020-05-28,"--","North East Thames Quaker Trust","Faith-based Organization","--","--","--","--","Divestment"
"757","--","--",2014-07-01,"--","North Star Fund","Philanthropic Foundation","--","--","--","--","Divestment"
"758","--","--",2015-02-01,"--","Northeast Wilderness Trust","NGO","--","--","--","--","Divestment"
"759","--","--",2020-01-16,"--","Northern College (URC and Congregational)","Faith-based Organization","--","--","--","--","Divestment"
"760","--","--",2015-05-01,"--","Northern Yearly Meeting – Quakers in the Upper Midwest","Faith-based Organization","--","--","--","--","Divestment"
"761","--","--",2017-07-20,"--","Northland College","Educational Institution","--","--","--","--","Divestment"
"762","--","--",2019-03-28,"--","Northumbria University","Educational Institution","--","--","--","--","Divestment"
"763","--","--",NA,"--","Norway Unitarian Universalist Church Maine","Faith-based Organization","--","--","--","--","Divestment"
"764","--","--",2015-11-24,"--","Norwich City Council","Government","--","--","--","--","Divestment"
"765","--","--",2016-11-22,"--","Nottingham Trent University","Educational Institution","--","--","--","--","Divestment"
"766","--","--",NA,"--","Noya Fields Family Charitable Funds","Philanthropic Foundation","--","--","--","--","Divestment"
"767","--","--",2019-07-21,"--","NR McLean Farms Ltd","For Profit Corporation","--","--","--","--","Divestment"
"768","--","--",2020-12-03,"--","Nuestra Señora del Perpetuo Socorro","Faith-based Organization","--","--","--","--","Divestment"
"769","--","--",2107-03-22,"--","NUI Gallway","Educational Institution","--","--","--","--","Divestment"
"770","--","--",2020-05-28,"--","Oasis Churches and Global Charity","Faith-based Organization","--","--","--","--","Divestment"
"771","--","--",2016-04-06,"--","Odense City Council","Government","--","--","--","--","Divestment"
"772","--","--",2019-10-16,"--","Oekologia","Faith-based Organization","--","--","--","--","Divestment"
"773","--","--",2015-08-01,"--","Ohio Valley Yearly Meeting, Society of Friends (Quakers), OH","Faith-based Organization","--","--","--","--","Divestment"
"774","--","--",2017-05-18,"--","Oikocredit Belgium","Faith-based Organization","--","--","--","--","Divestment"
"775","--","--",NA,"--","Okeanos Foundation for the Sea","Philanthropic Foundation","--","--","--","--","Divestment"
"776","--","--",2014-07-01,"--","Old Haverford Monthly Meeting","Faith-based Organization","--","--","--","--","Divestment"
"777","--","--",2020-12-03,"--","Ong Ambiental Cima","Faith-based Organization","--","--","--","--","Divestment"
"778","--","--",2016-07-01,"--","Oregon Metro","NGO","--","--","--","--","Divestment"
"779","--","--",2017-01-14,"--","Oregon State University","Educational Institution","--","--","--","--","Divestment"
"780","--","--",2018-03-09,"--","Oros Superannuation Fund","Pension Fund","--","--","--","--","Divestment"
"781","--","--",2015-06-01,"--","Orp Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"782","--","--",2016-03-01,"--","Oslo Pension & Insurance","Pension Fund","--","--","--","--","Divestment"
"783","--","--",2015-10-01,"--","Oslo Pensjonsforsikring","Government","--","--","--","--","Divestment"
"784","--","--",2016-10-20,"--","Östergötland Region","Government","--","--","--","--","Divestment"
"785","--","--",2015-11-01,"--","Oxford Brookes University","Educational Institution","--","--","--","--","Divestment"
"786","--","--",2014-11-01,"--","Oxford Diocesan Board of Finance (ODBF)","Faith-based Organization","--","--","--","--","Divestment"
"787","--","--",2020-04-22,"--","Oxford University","Educational Institution","--","--","--","--","Divestment"
"788","--","--",2014-02-01,"--","Pace Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"789","--","--",2016-06-30,"--","Pacific Northwest Conference of The United Methodist Church","Faith-based Organization","--","--","--","--","Divestment"
"790","--","--",NA,"--","Pacific School of Religion","Faith-based Organization","--","--","--","--","Divestment"
"791","--","--",2018-12-03,"--","Palmerston North City","Government","--","--","--","--","Divestment"
"792","--","--",2015-06-01,"--","Panahpur","Philanthropic Foundation","--","--","--","--","Divestment"
"793","--","--",2014-01-01,"--","Park Foundation, NY","Philanthropic Foundation","--","--","--","--","Divestment"
"794","--","--",NA,"--","Park Slope synagogue","Faith-based Organization","--","--","--","--","Divestment"
"795","--","--",NA,"--","Partnership for Change","Philanthropic Foundation","--","--","--","--","Divestment"
"796","--","--",2019-07-19,"--","Partnership for development and Social Organisation(PAFDESO)","NGO","--","--","--","--","Divestment"
"797","--","--",NA,"--","Passionists of Holy Hope Province","Faith-based Organization","--","--","--","--","Divestment"
"798","--","--",NA,"--","Pax Christi Düren","Faith-based Organization","--","--","--","--","Divestment"
"799","--","--",2017-05-18,"--","Pax Christi Vlaanderen","Faith-based Organization","--","--","--","--","Divestment"
"800","--","--",2015-04-01,"--","Pax Fund","Philanthropic Foundation","--","--","--","--","Divestment"
"801","--","--",NA,"--","Pax-Bank eG","Faith-based Organization","--","--","--","--","Divestment"
"802","--","--",NA,"--","Pazala foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"803","--","--",NA,"--","PCG Investments","For Profit Corporation","--","--","--","--","Divestment"
"804","--","--",2018-03-09,"--","Pegranka Superannuation Fund","Pension Fund","--","--","--","--","Divestment"
"805","--","--",NA,"--","Pembroke College","Educational Institution","--","--","--","--","Divestment"
"806","--","--",NA,"--","Pensioenfonds Van De Metalektro (PME)","Pension Fund","--","--","--","--","Divestment"
"807","--","--",2019-07-23,"--","Pension Fund Bernische Lehrerversicherungskasse BLVK","Pension Fund","--","--","--","--","Divestment"
"808","--","--",2015-11-01,"--","Pensionfonds Zorg en Welzijn (PFZW)","Pension Fund","--","--","--","--","Divestment"
"809","--","--",2013-12-01,"--","Peralta Community College District","Educational Institution","--","--","--","--","Divestment"
"810","--","--",NA,"--","Perpetual Ocean Super Fund","Pension Fund","--","--","--","--","Divestment"
"811","--","--",NA,"--","Peterhouse College, Cambridge","Educational Institution","--","--","--","--","Divestment"
"812","--","--",2015-05-01,"--","PFA Pension","Pension Fund","--","--","--","--","Divestment"
"813","--","--",NA,"--","Philadelphia Yearly Meeting","Faith-based Organization","--","--","--","--","Divestment"
"814","--","--",2015-10-01,"--","Phipps Conservatory and Botanical Gardens","Cultural Institution","--","--","--","--","Divestment"
"815","--","--",2013-08-01,"--","Pi Investments","For Profit Corporation","--","--","--","--","Divestment"
"816","--","--",2015-06-01,"--","Pig Shed Trust","Philanthropic Foundation","--","--","--","--","Divestment"
"817","--","--",2014-07-01,"--","Pilgrim Lutheran Church, St. Paul","Faith-based Organization","--","--","--","--","Divestment"
"818","--","--",2014-04-01,"--","Pitzer College","Educational Institution","--","--","--","--","Divestment"
"819","--","--",2015-05-01,"--","PKA Pension","Pension Fund","--","--","--","--","Divestment"
"820","--","--",2014-07-01,"--","Polden Puckham Charitable Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"821","--","--",2019-07-21,"--","Polestar Capital","For Profit Corporation","--","--","--","--","Divestment"
"822","--","--",2013-05-01,"--","Portsmouth South Church Unitarian Universalist, NH","Faith-based Organization","--","--","--","--","Divestment"
"823","--","--",2020-12-03,"--","Potencialidades y Centro de Paz Jardín del Corazón","Faith-based Organization","--","--","--","--","Divestment"
"824","--","--",2015-05-01,"--","Practice Greenhealth","Healthcare Institution","--","--","--","--","Divestment"
"825","--","--",2016-03-01,"--","Pratt Institute","Educational Institution","--","--","--","--","Divestment"
"826","--","--",2014-07-01,"--","Prentice Foundation","Philanthropic Foundation","--","--","--","--","Divestment"
"827","--","--",2015-10-01,"--","Presbyterian Church of New Zealand","Faith-based Organization","--","--","--","--","Divestment"
"828","--","--",NA,"--","Presbyterian Peace Fellowship, NY","Faith-based Organization","--","--","--","--","Divestment"
"829","--","--",2014-02-01,"--","Prescott College","Educational Institution","--","--","--","--","Divestment"
"830","--","--",2020-01-16,"--","Presentation Sisters (English Province)","Faith-based Organization","--","--","--","--","Divestment"
