"","Category","Fuel_type","Fuel_subtype","Country","ISO2","ISO3","UN","City_state_or_province","mbl_country","mbl_city_region","Start","End","Sources_and_more_info","Sources_2","Sources_3","Policy","Sources_and_more_info_hyperlinks","Column1","a","b","MBL_Class_Moratorium","MBL_Class_Ban","MBL_Class_Partial_Ban","MBL_Class_Limitation","MBL_Type_Oil","MBL_Type_Gas","MBL_Type_Coal","MBL_Type_Offshore","MBL_Type_Oil_Gas","MBL_Type_Oil_Gas_Coal","MBL_Type_Coal_Gas","MBL_Type_All","MBL_Type_Ore","Date","date"
"69","Ban","Gas",NA,"Netherlands","NL","NLD",528,"Groningen",0,1,2018,"2030","https://www.reuters.com/article/us-netherlands-groningen-gas/netherlands-to-halt-gas-production-at-groningen-by-2030-idUSKBN1H51PN",NA,NA,1,"Link","Link",2,1,0,3,0,0,0,2,1,0,0,0,0,0,0,2018-01-01,2018-01-01
"70","Moratorium","Oil",NA,"United States of America","US","USA",840,"Gulf of Mexico",0,1,2006,"2022","https://www.boem.gov/oil-gas-energy/leasing/areas-under-restriction","https://revenuedata.doi.gov/how-it-works/gomesa/",NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2006-01-01,2006-01-01
"71","Moratorium","Coal","Coal","Viet Nam","VN","VNM",704,"Ha Noi (National)",1,0,2020,"2030","https://ieefa.org/wp-content/uploads/2020/09/Vietnams-EVN-Faces-the-Future_September-2020.pdf","https://dantri.com.vn/kinh-doanh/du-kien-trinh-thu-tuong-du-thao-quy-hoach-dien-8-vao-thang-10-20210930153211411.htm","https://www.thestar.com.my/aseanplus/aseanplus-news/2021/09/29/vietnam-to-minimise-new-coal-fired-power-plants",1,"Link","Link",2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2020-01-01,2020-01-01
"72","Ban","Coal","Coal","Zimbabwe","ZW","ZWE",716,"Hwange",0,1,2020,"ongoing","https://chinadialogue.net/en/energy/lamu-kenyan-coal-project-chinese-investors-take-environmental-risks-seriously/",NA,NA,1,"Link","Link",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2020-01-01,2020-01-01
"73","Ban","Gas","Shale","United States of America","US","USA",840,"Indiana",0,1,2013,"ongoing","http://www.tribstar.com/news/local_news/council-bans-fracking-in-city/article_6354012b-7e01-5495-a11c-c2128604d77a.html","http://indianaeconomicdigest.com/Main.asp?SectionID=31&SubSectionID=135&ArticleID=71175",NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2013-01-01,2013-01-01
"74","Moratorium","Coal","Coal (Powerplants)","Japan","JP","JPN",392,"International",1,NA,NA,NA,"https://www.reuters.com/article/us-japan-marubeni-carbon-idUSKBN2B11MP",NA,NA,NA,"0",NA,1,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA
"75","Moratorium","Gas","Shale","South Africa","ZA","ZAF",710,"Karoo",0,1,2012,NA,"https://www.reuters.com/article/uk-safrica-gas-idUKBRE8860P920120907",NA,NA,1,"Link","Link",4,3,4,1,0,2,0,2,3,0,2,0,0,0,0,2012-01-01,2012-01-01
"76","Limitation","Coal","Coal","Malaysia","MY","MYS",458,"Kuala Lumpur",0,1,2039,NA,"https://www.st.gov.my/en/contents/files/download/169/Report_on_Peninsular_Malaysia_Generation_Development_Plan_2020_(2021-2039)-FINAL.pdf","https://www.gecf.org/events/expert-commentary-future-of-natural-gas-in-asean%E2%80%99s-power-sector",NA,1,"Link","Link",0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,2039-01-01,2039-01-01
"77","Moratorium","Coal","Coal","Malaysia","MY","MYS",458,"Kuala Lumpur",0,1,2050,NA,"https://www.theedgemarkets.com/article/12mp-malaysia-committed-becoming-carbonneutral-nation-2050-says-pm",NA,NA,1,"Link","Link",0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,2050-01-01,2050-01-01
"78","Moratorium","Coal","Coal","Kenya","KE","KEN",404,"Lamu",0,1,2020,"ongoing","https://chinadialogue.net/en/energy/lamu-kenyan-coal-project-chinese-investors-take-environmental-risks-seriously/",NA,NA,1,"Link","Link",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2020-01-01,2020-01-01
"79","Ban","Gas","Shale","United States of America","US","USA",840,"Maryland",0,1,2011,"ogoing","http://baltimore.cbslocal.com/2011/03/07/western-md-town-bans-new-natural-gas-wells/","https://scholarlycommons.law.case.edu/cgi/viewcontent.cgi?article=1158&context=caselrev",NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2011-01-01,2011-01-01
"80","Ban","Gas","Shale","United States of America","US","USA",840,"Maryland",0,1,2016,"ongoing","http://www.times-news.com/news/local_news/frostburg-officials-approve-fracking-ordinance/article_165d1413-4bf3-5edf-a141-66b963953e08.html","https://chesapeakeclimate.org/press-releases/frostburg-approves-fracking-ban-measures-becoming-the-largest-western-md-city-to-protect-water-from-toxic-drilling/",NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2016-01-01,2016-01-01
"81","Ban","Gas","Shale","United States of America","US","USA",840,"Maryland",0,1,2017,"ongoing","http://www.baltimoresun.com/news/maryland/politics/bs-md-fracking-ban-passes-20170327-story.html","https://www.washingtonpost.com/local/md-politics/maryland-house-overwhelmingly-approves-fracking-ban-hurdles-in-senate/2017/03/10/c975f362-059f-11e7-ad5b-d22680e18d10_story.html?utm_term=.cf8a131e90c1","https://legiscan.com/us/text/SB865/id/1596089/us_Congress-2017-SB865-Introduced.pdf",1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2017-01-01,2017-01-01
"82","Moratorium","Gas","Shale","United States of America","US","USA",840,"Michigan",0,1,2012,"2014","http://banmichiganfracking.org/?p=1815","http://westernpriorities.org/wp-content/uploads/2014/03/Michigan-Passed-Legislation.pdf",NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2012-01-01,2012-01-01
"83","Moratorium","Gas","Shale","United States of America","US","USA",840,"Michigan",0,1,2013,"2013","http://westernpriorities.org/wp-content/uploads/2014/03/Michigan-Passed-Legislation.pdf","https://wmeac.org/cannon-township-passes-fracking-moratorium/2013/",NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2013-01-01,2013-01-01
"84","Moratorium","Gas","Shale","United States of America","US","USA",840,"Michigan",0,1,2013,"2014","http://westernpriorities.org/wp-content/uploads/2014/03/Michigan-Passed-Legislation.pdf","http://www.mlive.com/business/west-michigan/index.ssf/2015/02/only_oil_well_drilled_in_kent.html",NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2013-01-01,2013-01-01
